county,pop_without_access,percent_total_pop,pop_density,per_capita_income,urban_pop_without_access,percent_urban_pop,urban_pop_density,rural_pop_without_access,percent_rural_pop,rural_pop_density
Bonneville County,"7,359",6%,63.263,"$23,160 ",933,1%,"2,331.54","6,426",45%,7.837
Boundary County,"4,134",36%,9.101,"$20,049 ","2,614",99%,"1,288.87","1,520",17%,7.037
Butte County,"1,559",64%,1.085,"$21,444 ",.,.,.,"1,559",64%,1.085
Camas County,901,100%,0.839,"$22,073 ",.,.,.,901,100%,0.839
Canyon County,"17,747",8%,362.884,"$17,954 ","3,769",2%,"2,514.89","13,978",36%,75.345
Caribou County,"3,856",64%,3.398,"$24,279 ","2,006",78%,"1,118.01","1,850",54%,1.939
Cassia County,"8,048",36%,8.653,"$17,942 ",348,3%,"1,876.90","7,700",68%,4.419
Clark County,736,85%,0.489,"$15,734 ",.,.,.,736,85%,0.489
Clearwater County,"7,793",93%,3.406,"$20,154 ","3,219",94%,"1,607.73","4,574",93%,2.008
Custer County,"2,501",62%,0.823,"$22,537 ",.,.,.,"2,501",62%,0.823
Elmore County,"5,943",24%,8.127,"$21,016 ","2,332",12%,"1,280.12","3,611",66%,1.793
Franklin County,"5,537",43%,19.327,"$17,694 ",160,4%,"1,512.25","5,377",65%,12.556
Fremont County,"7,192",58%,6.642,"$19,348 ",260,7%,"1,904.51","6,932",78%,4.749
Gem County,"2,972",18%,30.023,"$20,623 ",162,2%,"1,676.04","2,810",38%,13.275
Gooding County,"6,296",47%,18.563,"$18,965 ",181,3%,"2,424.99","6,115",78%,10.775
Idaho County,"15,591",100%,1.84,"$19,527 ","2,923",100%,"1,947.61","12,668",100%,1.495
Jefferson County,"9,333",31%,27.922,"$19,515 ",410,4%,"1,273.26","8,923",45%,18.32
Jerome County,"8,064",35%,38.519,"$17,474 ",461,4%,"2,629.53","7,603",67%,19.15
Kootenai County,"21,857",14%,123.881,"$25,190 ",53,0%,"2,362.14","21,804",60%,30.464
Latah County,"7,958",22%,33.786,"$22,575 ",.,.,"4,145.02","7,958",67%,11.124
Lemhi County,"4,308",59%,1.608,"$24,178 ","1,328",45%,"1,451.71","2,980",68%,0.964
Lewis County,"2,857",91%,6.577,"$21,542 ",.,.,.,"2,857",91%,6.577
Lincoln County,"3,221",69%,3.87,"$16,328 ",.,.,.,"3,221",69%,3.87
Madison County,"9,507",22%,90.231,"$15,406 ","2,588",8%,"4,387.78","6,919",61%,24.744
Minidoka County,"6,691",38%,23.309,"$20,238 ",605,6%,"1,457.27","6,086",82%,9.867
Nez Perce County,"5,664",14%,47.237,"$24,570 ",295,1%,"2,029.14","5,369",75%,8.629
Oneida County,"2,683",68%,3.288,"$21,286 ",.,.,.,"2,683",68%,3.288
Owyhee County,"6,769",64%,1.369,"$16,733 ",111,5%,"2,593.73","6,658",82%,1.065
Payette County,"4,339",19%,56.22,"$20,332 ",364,3%,"2,093.61","3,975",42%,23.573
Power County,"1,225",17%,5.089,"$18,184 ",69,2%,"3,004.97","1,156",41%,2.003
Shoshone County,"10,015",82%,4.656,"$20,803 ","4,640",86%,"1,679.92","5,375",78%,2.612
Teton County,"3,391",28%,26.768,"$23,409 ",.,.,.,"3,391",28%,26.768
Twin Falls County,"10,902",13%,43.954,"$21,167 ","1,055",2%,"2,976.60","9,847",44%,11.816
Valley County,"2,736",29%,2.608,"$23,880 ",.,.,.,"2,736",29%,2.608
Washington County,"3,368",36%,6.382,"$19,342 ",89,2%,"2,108.83","3,279",79%,2.847
Illinois,"1,188,012",9%,233.981,.,"419,780",4%,"2,947.65","768,232",56%,26.376
Adams County,"10,549",16%,77.02,"$24,247 ",215,0%,"1,943.53","10,334",52%,24.025
Alexander County,"6,707",100%,28.479,"$14,052 ","2,372",100%,"1,009.18","4,335",100%,18.592
Bond County,"14,176",86%,43.379,"$23,232 ","4,548",69%,"1,939.00","9,628",98%,26.195
Boone County,"4,014",7%,211.589,"$25,950 ",450,1%,"1,801.07","3,564",34%,41.894
Brown County,"3,427",57%,19.813,"$20,518 ","1,246",34%,"2,520.43","2,181",93%,7.704
Bureau County,"8,700",28%,36.053,"$26,587 ",278,2%,"1,318.26","8,422",50%,19.813
Calhoun County,"4,821",100%,18.993,"$26,446 ",.,.,.,"4,821",100%,18.993
Carroll County,"4,248",32%,29.494,"$26,918 ",78,3%,"1,647.70","4,170",39%,24.053
Cass County,"11,348",100%,30.195,"$23,423 ","5,534",100%,"1,920.06","5,814",100%,15.59
Champaign County,"16,938",8%,206.375,"$26,087 ","5,572",3%,"2,853.95","11,366",48%,25.184
Christian County,"14,114",43%,45.781,"$24,016 ","6,552",34%,"1,587.46","7,562",57%,18.962
Clark County,"5,641",39%,28.978,"$25,061 ",150,2%,"1,499.43","5,491",66%,16.737
Clay County,"9,404",77%,26.194,"$22,160 ","4,687",100%,"2,080.61","4,717",62%,16.264
Clinton County,"9,810",26%,78.3,"$28,255 ",20,0%,"1,729.53","9,790",55%,38.718
Coles County,"10,685",20%,104.242,"$22,464 ","2,964",7%,"2,290.25","7,721",65%,24.048
Cook County,"103,450",2%,"5,567.35","$30,468 ","103,131",2%,"5,872.70",319,13%,48.044
Crawford County,"7,264",40%,40.543,"$25,613 ","1,193",16%,"1,382.35","6,071",58%,23.974
Cumberland County,"5,922",59%,28.868,"$22,631 ",.,.,.,"5,922",59%,28.868
DeKalb County,"14,502",13%,179.257,"$23,903 ","6,347",7%,"2,821.13","8,155",37%,36.56
De Witt County,"4,067",28%,36.442,"$27,575 ",216,3%,"1,705.03","3,851",55%,17.781
Douglas County,"5,852",33%,42.315,"$24,330 ",297,4%,"1,640.72","5,555",52%,25.683
DuPage County,"20,136",2%,"2,827.99","$38,931 ","19,978",2%,"3,011.67",158,38%,20.437
Edgar County,"10,393",68%,24.674,"$25,018 ","4,520",58%,"1,630.37","5,873",78%,12.177
Edwards County,"5,171",88%,26.397,"$21,896 ",.,.,.,"5,171",88%,26.397
Effingham County,"12,364",38%,68.775,"$26,774 ",149,1%,"1,621.77","12,215",64%,40.498
Fayette County,"13,643",68%,27.883,"$21,845 ","3,443",50%,"1,639.87","10,200",78%,18.411
Ford County,"3,995",32%,25.623,"$25,495 ",151,2%,"1,970.70","3,844",87%,9.152
Franklin County,"19,929",53%,91.257,"$20,591 ","7,215",38%,"1,487.08","12,714",70%,45.738
Fulton County,"13,247",39%,39.449,"$22,478 ","2,589",18%,"2,231.82","10,658",54%,22.985
Gallatin County,"1,883",40%,14.678,"$22,890 ",.,.,.,"1,883",40%,14.678
Greene County,"10,249",89%,21.113,"$22,483 ","2,582",78%,"1,508.01","7,667",94%,15.09
Grundy County,"10,599",19%,133.281,"$29,439 ","1,876",4%,"1,933.53","8,723",72%,30.66
Hamilton County,"5,893",79%,17.057,"$23,160 ","1,415",60%,"1,581.36","4,478",89%,11.642
Hancock County,"5,542",34%,20.521,"$24,418 ",175,3%,"1,332.13","5,367",48%,14.121
Hardin County,"3,719",100%,20.949,"$21,901 ",.,.,.,"3,719",100%,20.949
Henderson County,"4,202",74%,15.063,"$27,132 ",23,100%,139.583,"4,179",74%,15.009
Henry County,"6,999",15%,58.558,"$26,845 ",230,1%,"1,934.52","6,769",29%,28.798
Iroquois County,"13,748",52%,23.576,"$25,234 ","2,716",34%,"1,363.95","11,032",60%,16.552
Jackson County,"15,148",26%,100.632,"$20,729 ","4,817",13%,"1,717.47","10,331",49%,37.801
Jasper County,"7,314",88%,16.891,"$25,063 ","1,870",67%,"1,224.35","5,444",98%,11.326
Jefferson County,"14,596",40%,64.17,"$22,849 ",.,.,"1,436.92","14,596",69%,37.833
Jersey County,"19,419",83%,63.238,"$26,154 ","6,315",68%,"1,731.92","13,104",93%,38.704
Jo Daviess County,"7,627",36%,35.517,"$29,477 ",106,2%,"1,143.80","7,521",49%,25.622
Johnson County,"12,007",100%,34.913,"$19,684 ",.,.,.,"12,007",100%,34.913
Kane County,"12,301",2%,"1,079.64","$30,645 ","9,546",2%,"2,489.94","2,755",14%,63.513
Kankakee County,"10,657",9%,173.955,"$24,117 ","1,730",2%,"2,327.77","8,927",33%,42.291
Kendall County,"9,749",7%,448.115,"$31,110 ","1,950",2%,"2,562.92","7,799",55%,52.582
Knox County,"6,100",12%,69.177,"$22,273 ",156,0%,"1,633.68","5,944",54%,15.773
Lake County,"21,014",3%,"1,638.29","$38,459 ","18,785",3%,"2,113.45","2,229",24%,88.301
LaSalle County,"24,192",21%,99.462,"$25,668 ","1,406",2%,"1,818.87","22,786",69%,30.07
Lawrence County,"12,462",79%,42.179,"$14,208 ","3,727",58%,"1,183.79","8,735",94%,25.234
Lee County,"12,685",36%,48.204,"$24,943 ","2,982",17%,"1,758.51","9,703",55%,24.631
Livingston County,"9,483",28%,32.986,"$25,831 ","1,638",7%,"1,982.02","7,845",63%,12.134
Logan County,"10,005",38%,42.92,"$21,986 ","3,879",23%,"1,809.21","6,126",64%,15.63
McDonough County,"2,304",8%,51.662,"$20,592 ",15,0%,"2,235.34","2,289",30%,13.165
McHenry County,"11,876",4%,542.203,"$33,118 ","3,816",1%,"2,059.04","8,060",26%,67.554
McLean County,"19,287",11%,147.119,"$30,728 ","6,312",4%,"2,718.53","12,975",51%,22.639
Macon County,"14,151",13%,186.446,"$26,259 ","2,889",3%,"1,565.43","11,262",72%,29.903
Macoupin County,"34,970",81%,50.243,"$25,402 ","11,854",65%,"1,713.55","23,116",92%,29.563
Madison County,"18,816",7%,379.887,"$28,093 ","4,874",2%,"1,566.11","13,942",39%,63.37
Marion County,"11,083",31%,62.504,"$22,398 ",8,0%,"1,420.13","11,075",70%,28.53
Marshall County,"3,498",33%,27.048,"$26,399 ",.,.,.,"3,498",33%,27.048
Mason County,"11,240",91%,22.88,"$23,937 ","3,145",100%,"1,397.62","8,095",88%,17.12
Massac County,"5,260",36%,61.994,"$23,190 ",145,2%,"1,843.92","5,115",70%,31.552
Menard County,"11,964",100%,38.141,"$29,391 ","2,828",100%,"1,174.14","9,136",100%,29.372
Mercer County,"7,215",49%,26.137,"$26,739 ",128,4%,"1,515.58","7,087",63%,20.23
Monroe County,"2,966",8%,90.933,"$33,059 ",.,.,"1,645.50","2,966",22%,36.906
Montgomery County,"19,423",73%,37.959,"$20,067 ","10,482",64%,"1,246.65","8,941",86%,15.071
Morgan County,"11,588",35%,58.967,"$24,822 ","1,686",8%,"1,901.94","9,902",87%,20.399
Moultrie County,"7,653",55%,41.799,"$23,801 ",91,2%,"1,359.72","7,562",78%,29.18
Ogle County,"13,632",26%,68.522,"$27,337 ",720,3%,"1,508.13","12,912",55%,31.493
Peoria County,"17,250",9%,304.706,"$28,414 ","2,055",1%,"1,968.56","15,195",57%,49.914
Perry County,"15,108",71%,48.146,"$19,999 ","7,577",62%,"1,579.08","7,531",82%,21.042
Piatt County,"4,815",30%,36.061,"$31,750 ",138,3%,"1,550.02","4,677",45%,23.976
Pike County,"13,967",99%,17.055,"$20,925 ","4,239",99%,"1,584.64","9,728",98%,11.919
Pope County,"4,057",98%,11.278,"$21,431 ",.,.,.,"4,057",98%,11.278
Pulaski County,"3,495",74%,23.702,"$19,575 ",.,.,.,"3,495",74%,23.702
Putnam County,"3,033",55%,34.278,"$28,158 ",.,.,.,"3,033",55%,34.278
Randolph County,"11,501",37%,53.965,"$22,771 ","6,129",33%,"1,619.91","5,372",43%,21.915
Richland County,"9,268",62%,41.29,"$23,996 ","4,064",45%,"1,317.41","5,204",90%,16.451
Rock Island County,"6,668",5%,345.429,"$26,257 ","1,909",1%,"1,918.12","4,759",32%,42.036
St. Clair County,"7,838",3%,414.372,"$26,459 ","7,559",3%,"1,556.36",279,1%,51.836
Saline County,"7,166",31%,60.761,"$21,295 ",616,5%,"1,330.53","6,550",65%,27.068
Sangamon County,"28,799",15%,227.931,"$30,594 ","15,642",9%,"1,766.53","13,157",48%,35.25
Schuyler County,"6,883",100%,15.741,"$23,852 ","2,917",100%,"2,131.64","3,966",100%,9.098
Scott County,"4,475",99%,18.066,"$24,395 ",.,.,.,"4,475",99%,18.066
Shelby County,"15,075",81%,24.562,"$23,279 ","2,977",70%,"1,409.62","12,098",84%,19.047
Stark County,"2,076",40%,18.061,"$27,104 ",.,.,.,"2,076",40%,18.061
Stephenson County,"8,967",20%,79.979,"$23,686 ",266,1%,"1,827.34","8,701",50%,31.549
Tazewell County,"16,932",12%,215.181,"$28,953 ","4,620",4%,"1,866.95","12,312",45%,46.145
Union County,"11,673",68%,41.383,"$22,430 ","3,217",55%,"1,464.59","8,456",75%,27.552
Vermilion County,"28,282",39%,81.496,"$21,924 ","15,524",30%,"1,606.28","12,758",58%,25.296
Wabash County,"7,551",71%,47.404,"$24,493 ","3,925",59%,"1,683.26","3,626",93%,17.844
Warren County,"13,935",90%,28.639,"$22,923 ","9,060",100%,"2,336.46","4,875",75%,12.022
Washington County,"6,193",47%,23.185,"$27,996 ",467,13%,"1,129.68","5,726",61%,16.756
Wayne County,"11,130",74%,21.133,"$23,897 ","2,923",64%,"1,605.73","8,207",78%,14.756
White County,"9,540",75%,25.671,"$26,388 ","3,043",59%,"2,097.08","6,497",87%,15.241
Whiteside County,"11,006",20%,79.23,"$24,815 ","1,093",3%,"1,755.99","9,913",49%,30.534
Will County,"13,829",2%,881.562,"$30,791 ","12,544",2%,"2,175.15","1,285",5%,53.258
Williamson County,"18,459",28%,157.703,"$24,096 ","2,231",5%,"1,192.62","16,228",71%,59.878
Winnebago County,"12,758",4%,590.881,"$24,802 ","4,147",1%,"2,030.77","8,611",37%,61.566
Woodford County,"7,247",18%,74.669,"$30,300 ",86,0%,"1,704.61","7,161",34%,40.936
Indiana,"1,131,373",17%,185.352,.,"220,696",5%,"1,933.62","910,677",52%,52.772
Adams County,"13,614",39%,103.089,"$21,161 ",490,3%,"1,399.64","13,124",69%,57.983
Allen County,"24,133",7%,563.94,"$25,485 ","7,020",2%,"1,910.57","17,113",40%,88.127
Bartholomew County,"11,135",14%,192.351,"$27,623 ","4,020",8%,"2,029.16","7,115",28%,67.601
Benton County,"6,605",89%,18.166,"$22,591 ",.,.,.,"6,605",89%,18.166
Blackford County,"4,928",44%,67.319,"$20,754 ",112,2%,"1,254.48","4,816",86%,34.917
Boone County,"15,219",25%,144.54,"$38,024 ",790,2%,"1,869.94","14,429",73%,49.358
Brown County,"12,045",82%,47.291,"$27,664 ",.,.,.,"12,045",82%,47.291
Carroll County,"12,444",68%,49.39,"$25,040 ","2,019",59%,"1,538.40","10,425",70%,40.459
Cass County,"9,771",27%,86.725,"$21,609 ","1,267",6%,"1,599.90","8,504",54%,39.68
Clark County,"6,990",6%,320.255,"$25,057 ",121,0%,"1,679.87","6,869",28%,76.406
Clay County,"14,675",58%,70.26,"$21,520 ","5,272",52%,"1,776.81","9,403",63%,42.591
Clinton County,"9,597",29%,81.013,"$22,205 ",318,2%,"2,236.40","9,279",60%,38.966
Crawford County,"9,238",95%,31.825,"$19,002 ",.,.,.,"9,238",95%,31.825
Daviess County,"22,168",71%,72.775,"$21,532 ","5,220",44%,"1,761.51","16,948",87%,46.06
Dearborn County,"4,856",9%,171.175,"$27,746 ",477,2%,"1,289.09","4,379",16%,95.692
Decatur County,"9,765",38%,68.224,"$22,609 ",155,1%,"1,844.24","9,610",73%,35.996
DeKalb County,"11,508",28%,115.298,"$23,768 ",127,1%,"1,871.43","11,381",65%,50.334
Delaware County,"12,149",11%,289.355,"$21,360 ","5,265",6%,"1,844.93","6,884",28%,72.481
Dubois County,"17,584",41%,100.871,"$25,841 ",525,2%,"1,621.18","17,059",82%,50.338
Elkhart County,"39,516",19%,440.667,"$21,403 ","14,250",9%,"1,575.46","25,266",59%,118.246
Fayette County,"5,530",24%,107.342,"$19,633 ",271,2%,"1,641.44","5,259",60%,42.507
Floyd County,"2,659",3%,531.518,"$27,449 ",212,0%,"1,548.30","2,447",15%,147.327
Fountain County,"9,771",62%,40.052,"$23,153 ","1,492",27%,"2,069.10","8,279",81%,26.027
Franklin County,"16,754",72%,60.18,"$23,741 ","1,840",69%,"1,007.23","14,914",73%,53.575
Fulton County,"4,198",21%,54.364,"$21,523 ",.,.,"1,721.82","4,198",33%,34.673
Gibson County,"11,512",37%,64.219,"$24,256 ","1,666",12%,"2,103.34","9,846",58%,35.409
Grant County,"18,192",28%,158.916,"$20,442 ","5,022",11%,"1,883.45","13,170",71%,47.631
Greene County,"19,866",63%,58.139,"$22,491 ","1,324",17%,"1,262.26","18,542",78%,44.452
Hamilton County,"21,135",7%,802.159,"$40,012 ","10,805",4%,"2,146.72","10,330",63%,64.431
Hancock County,"1,698",2%,254.879,"$28,722 ",370,1%,"1,528.01","1,328",6%,83.736
Harrison County,"20,677",50%,85.304,"$24,469 ",206,4%,"1,545.97","20,471",58%,73.838
Hendricks County,"20,512",13%,400.911,"$30,018 ","7,358",5%,"1,706.05","13,154",48%,83.737
Henry County,"9,655",20%,120.793,"$20,165 ","3,049",11%,"1,730.56","6,606",33%,53.255
Howard County,"7,782",10%,271.712,"$23,897 ","2,179",3%,"1,637.94","5,603",32%,67.789
Huntington County,"9,543",26%,95.084,"$22,875 ",24,0%,"1,677.86","9,519",52%,48.8
Jackson County,"10,234",24%,82.358,"$22,556 ",278,1%,"1,588.49","9,956",55%,36.325
Jasper County,"16,463",47%,62.742,"$24,501 ","4,381",39%,"1,749.66","12,082",51%,43.117
Jay County,"8,070",40%,52.721,"$19,812 ",130,1%,"1,847.09","7,940",72%,29.122
Jefferson County,"10,052",31%,90.73,"$22,218 ",74,0%,"1,393.80","9,978",69%,41.764
Jennings County,"10,108",36%,74.491,"$20,812 ",101,1%,"1,355.43","10,007",60%,45.271
Johnson County,"16,771",11%,478.161,"$28,500 ","4,358",3%,"2,426.71","12,413",60%,78.04
Knox County,"12,301",33%,71.651,"$21,801 ","3,580",15%,"1,918.48","8,721",68%,25.445
Kosciusko County,"17,011",22%,147.452,"$25,531 ","2,409",6%,"1,140.77","14,602",41%,72.776
LaGrange County,"29,288",77%,100.802,"$19,863 ",207,7%,"1,414.05","29,081",82%,93.387
Lake County,"13,286",3%,"1,019.31","$24,294 ","8,411",2%,"2,065.65","4,875",24%,78.206
LaPorte County,"12,731",11%,189.693,"$23,074 ","3,996",5%,"1,801.32","8,735",22%,70.348
Lawrence County,"14,683",32%,101.632,"$23,046 ","3,170",18%,"1,210.54","11,513",41%,64.076
Madison County,"18,920",14%,290.694,"$22,049 ","5,311",5%,"1,417.06","13,609",45%,78.685
Marion County,"28,185",3%,"2,382.47","$24,145 ","27,797",3%,"2,611.92",388,7%,156.276
Marshall County,"16,004",34%,106.005,"$22,580 ",902,5%,"1,540.52","15,102",51%,68.104
Martin County,"7,440",75%,29.544,"$23,038 ","1,202",45%,"1,577.85","6,238",86%,21.686
Miami County,"12,135",35%,93.676,"$21,209 ","3,563",18%,"1,432.44","8,572",55%,43.008
Monroe County,"10,434",7%,372.199,"$23,837 ","6,381",6%,"2,584.92","4,053",13%,88.748
Montgomery County,"14,743",39%,74.828,"$22,392 ",437,2%,"1,547.54","14,306",74%,39.108
Morgan County,"25,442",36%,174.736,"$25,245 ","8,266",23%,"1,313.91","17,176",50%,91.04
Newton County,"4,180",31%,33.388,"$24,389 ",.,.,.,"4,180",31%,33.388
Noble County,"20,898",44%,116.142,"$22,821 ",130,1%,"2,112.68","20,768",65%,79.139
Ohio County,"2,543",42%,70.292,"$23,906 ",.,.,.,"2,543",42%,70.292
Orange County,"15,032",78%,48.255,"$19,023 ","2,076",64%,"1,429.23","12,956",81%,40.307
Owen County,"7,099",35%,52.945,"$21,636 ",.,.,.,"7,099",35%,52.945
Parke County,"12,832",80%,36.23,"$22,131 ","3,141",77%,880.988,"9,691",81%,27.317
Perry County,"9,015",47%,49.727,"$21,050 ",412,5%,"1,777.17","8,603",81%,28.006
Pike County,"9,369",78%,35.929,"$22,974 ",.,.,.,"9,369",78%,35.929
Porter County,"7,714",4%,418.976,"$29,043 ","2,657",2%,"1,494.20","5,057",14%,108.679
Posey County,"15,124",62%,59.264,"$29,426 ","1,549",19%,903.012,"13,575",84%,40.529
Pulaski County,"2,824",24%,27.1,"$21,725 ",27,1%,"1,750.29","2,797",30%,21.472
Putnam County,"10,169",27%,79.556,"$21,541 ",203,1%,"2,010.21","9,966",41%,50.821
Randolph County,"1,345",6%,51.077,"$22,386 ",.,.,"1,831.15","1,345",10%,31.204
Ripley County,"15,963",56%,63.363,"$23,206 ","3,418",72%,"1,661.05","12,545",53%,53.013
Rush County,"7,308",46%,38.956,"$23,872 ",186,3%,"1,548.39","7,122",76%,23.186
St. Joseph County,"28,329",11%,571.818,"$24,039 ","16,564",7%,"1,860.16","11,765",49%,72.172
Scott County,"5,484",22%,128.62,"$21,575 ",.,.,"1,592.59","5,484",42%,70.602
Shelby County,"12,989",29%,107.565,"$24,200 ","1,260",6%,"1,951.42","11,729",52%,56.69
Spencer County,"14,094",71%,50.287,"$24,346 ",.,.,.,"14,094",71%,50.287
Starke County,"9,205",41%,73.256,"$20,292 ",139,3%,"1,479.11","9,066",49%,60.937
Steuben County,"11,421",34%,108.287,"$24,345 ",258,2%,"1,236.97","11,163",50%,74.002
Sullivan County,"12,776",64%,44.398,"$20,193 ",15,0%,"2,031.92","12,761",83%,34.509
Switzerland County,"8,758",82%,48.637,"$19,255 ",.,.,.,"8,758",82%,48.637
Tippecanoe County,"25,811",14%,376.458,"$23,337 ","13,612",8%,"2,523.37","12,199",46%,60.563
Tipton County,"4,218",28%,56.966,"$26,350 ",295,5%,"1,832.31","3,923",44%,34.861
Union County,"3,738",53%,43.56,"$21,805 ",.,.,.,"3,738",53%,43.56
Vanderburgh County,"2,502",1%,793.93,"$24,426 ",22,0%,"2,036.86","2,480",15%,111.961
Vermillion County,"9,557",68%,54.699,"$23,475 ","3,897",69%,"1,457.79","5,660",67%,33.248
Vigo County,"9,625",9%,259.739,"$21,766 ",268,0%,"1,669.08","9,357",37%,70.493
Wabash County,"11,306",38%,72.458,"$21,943 ",13,0%,"2,045.20","11,293",77%,36.063
Warren County,"5,489",73%,20.571,"$28,574 ",82,5%,763.679,"5,407",94%,15.84
Warrick County,"10,617",17%,166.802,"$30,197 ",24,0%,"2,202.95","10,593",59%,49.557
Washington County,"15,316",55%,54.56,"$20,317 ",.,.,"1,641.69","15,316",71%,42.52
Wayne County,"11,821",18%,167.586,"$21,130 ","1,246",3%,"1,760.51","10,575",49%,58.005
Wells County,"8,580",31%,74.952,"$24,126 ",309,2%,"1,607.32","8,271",61%,38.03
White County,"2,640",12%,43.437,"$24,116 ",265,4%,"1,215.29","2,375",16%,29.578
Whitley County,"13,957",41%,102.45,"$26,120 ",408,4%,"1,529.08","13,549",56%,73.622
Iowa,"451,148",15%,55.493,.,"76,830",4%,"2,200.33","374,318",37%,18.253
Adair County,"1,776",30%,10.535,"$25,657 ",.,.,.,"1,776",30%,10.535
Adams County,"1,180",40%,6.988,"$25,169 ",.,.,.,"1,180",40%,6.988
Allamakee County,"10,247",72%,22.271,"$25,622 ",123,3%,"1,972.39","10,124",97%,16.334
Appanoose County,"1,795",15%,23.385,"$22,744 ",4,0%,"1,568.51","1,791",28%,12.894
Audubon County,"1,416",28%,11.283,"$30,714 ",.,.,.,"1,416",28%,11.283
Benton County,"6,843",28%,33.601,"$28,177 ",69,1%,"1,966.84","6,774",35%,27.051
Black Hawk County,"6,646",5%,244.167,"$24,771 ",461,0%,"1,935.30","6,185",35%,35.161
Boone County,"6,278",25%,43.165,"$27,160 ",139,1%,"1,294.19","6,139",50%,21.707
Bremer County,"6,372",26%,56.175,"$29,632 ",113,1%,"1,364.33","6,259",41%,35.761
Buchanan County,"8,948",44%,35.542,"$28,193 ",90,1%,"1,934.48","8,858",65%,24.011
Buena Vista County,"2,790",14%,33.85,"$23,707 ",13,0%,"3,136.14","2,777",37%,13.295
Butler County,"5,388",39%,24.057,"$26,327 ",.,.,.,"5,388",39%,24.057
Calhoun County,779,10%,13.431,"$26,486 ",.,.,.,779,10%,13.431
Carroll County,"2,871",14%,35.886,"$26,479 ",.,.,"2,324.17","2,871",29%,17.255
Cass County,"2,219",18%,21.639,"$25,555 ",54,1%,"2,230.89","2,165",37%,10.546
Cedar County,"5,521",32%,29.498,"$27,566 ",37,1%,"2,009.20","5,484",38%,24.667
Cerro Gordo County,"2,776",6%,76.797,"$27,605 ",178,0%,"1,581.03","2,598",33%,14.382
Cherokee County,"2,264",23%,17.412,"$28,150 ",47,1%,"2,436.16","2,217",40%,9.708
Chickasaw County,"2,933",27%,21.938,"$25,137 ",93,3%,"2,146.23","2,840",36%,15.507
Clarke County,592,7%,19.345,"$23,743 ",141,3%,"1,398.89",451,12%,8.643
Clay County,"2,001",12%,28.254,"$29,138 ",4,0%,"1,845.12","1,997",43%,8.245
Clayton County,"8,403",48%,22.323,"$25,853 ",51,9%,"1,353.79","8,352",50%,21.582
Clinton County,"7,087",14%,71.507,"$26,751 ",549,2%,"2,209.04","6,538",43%,22.226
Crawford County,"4,433",29%,21.407,"$23,066 ",737,8%,"2,024.91","3,696",56%,9.235
Dallas County,"7,386",9%,139.805,"$36,677 ","1,760",3%,"2,665.74","5,626",25%,40.036
Davis County,"5,512",66%,16.663,"$23,046 ",.,.,.,"5,512",66%,16.663
Decatur County,"2,304",32%,13.747,"$19,321 ",.,.,.,"2,304",32%,13.747
Delaware County,"2,211",13%,28.652,"$26,776 ",45,1%,"1,921.26","2,166",19%,19.873
Des Moines County,"2,186",5%,98.009,"$23,724 ",371,1%,"1,981.19","1,815",18%,25.769
Dickinson County,"2,368",14%,43.862,"$32,869 ",382,3%,971.777,"1,986",37%,14.653
Dubuque County,"7,753",8%,165.729,"$26,791 ",715,1%,"2,239.40","7,038",26%,47.31
Emmet County,"2,227",23%,24.535,"$28,293 ",280,4%,"2,221.96","1,947",59%,8.427
Fayette County,"3,534",19%,25.214,"$24,236 ",43,1%,"1,809.42","3,491",28%,17.315
Floyd County,"1,963",13%,29.485,"$25,142 ",128,2%,"1,908.79","1,835",25%,14.614
Franklin County,"3,385",38%,15.26,"$25,719 ",28,1%,"1,945.14","3,357",67%,8.582
Fremont County,"2,597",43%,11.723,"$28,656 ",.,.,0,"2,597",43%,11.724
Greene County,"1,599",21%,13.278,"$27,140 ",.,.,"1,477.28","1,599",40%,7.014
Grundy County,"2,711",23%,23.764,"$30,701 ",.,.,.,"2,711",23%,23.764
Guthrie County,"2,414",27%,14.996,"$28,746 ",.,.,.,"2,414",27%,14.996
Hamilton County,"2,739",20%,24.312,"$25,531 ",157,2%,"1,826.31","2,582",41%,11.082
Hancock County,"3,933",39%,17.466,"$27,025 ",.,.,"1,553.21","3,933",60%,11.44
Hardin County,"3,334",21%,27.973,"$25,792 ",16,0%,"1,489.91","3,318",31%,19.203
Harrison County,"6,085",44%,19.703,"$26,217 ","2,574",92%,"2,071.97","3,511",32%,15.73
Henry County,"3,224",17%,43.642,"$23,679 ",159,2%,"1,498.77","3,065",30%,24.021
Howard County,"1,091",13%,17.845,"$25,040 ",.,.,"2,064.32","1,091",22%,10.683
Humboldt County,"2,095",25%,19.595,"$26,592 ",209,4%,"1,678.14","1,886",57%,7.694
Ida County,"5,652",100%,13.128,"$26,712 ",.,.,.,"5,652",100%,13.128
Iowa County,"5,283",34%,26.302,"$28,249 ",28,1%,"1,486.24","5,255",42%,21.255
Jackson County,"5,901",31%,30.364,"$24,988 ",124,1%,"1,933.21","5,777",59%,15.541
Jasper County,"5,372",15%,48.49,"$25,825 ",246,2%,"1,922.47","5,126",26%,27.014
Jefferson County,"1,897",12%,35.31,"$27,408 ",21,0%,"1,392.46","1,876",32%,13.501
Johnson County,"11,225",8%,237.799,"$31,131 ","3,286",3%,"2,649.48","7,939",31%,44.444
